Date,Description,Category,Amount
2025-01-02,Groceries at market,Food,35
2025-01-03,Bus fare,Transport,5
2025-01-05,Mobile data,Utilities,10
2025-01-07,Restaurant,Food,22
2025-01-10,Movie night,Entertainment,15
2025-01-12,Groceries supermarket,Food,40
2025-01-15,Electricity bill,Utilities,30
2025-01-18,Taxi ride,Transport,12
2025-01-20,Coffee shop,Food,8
2025-01-22,Online course,Education,50
2025-02-02,Groceries at market,Food,38
2025-02-04,Bus fare,Transport,6
2025-02-06,Internet bundle,Utilities,12
2025-02-08,Restaurant,Food,25
2025-02-11,Streaming subscription,Entertainment,10
2025-02-14,Groceries supermarket,Food,45
2025-02-16,Electricity bill,Utilities,28
2025-02-18,Taxi ride,Transport,14
2025-02-20,Coffee shop,Food,9
2025-02-22,Books,Education,35
2025-03-01,Groceries at market,Food,42
2025-03-03,Bus fare,Transport,5
2025-03-05,Mobile data,Utilities,11
2025-03-07,Restaurant,Food,27
2025-03-10,Movie night,Entertainment,18
2025-03-12,Groceries supermarket,Food,48
2025-03-15,Electricity bill,Utilities,32
2025-03-18,Taxi ride,Transport,15
2025-03-20,Coffee shop,Food,10
2025-03-22,Online course,Education,60
